path,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_mtime,st_ctime
/home/w/weismanm/.vim/eclim/autoload/eclim/android/project.vim,33188,40372259,24,1,2363,2002,4976,1378929278.6124809,1368902134.0,1378929278.616481
/home/w/weismanm/.local/share/gvfs-metadata/.nfs00000000007c1e54000000f4,33188,42862008,24,1,2363,2002,32768,1351839337.725546,1346873897.0,1351839337.725546
/home/w/weismanm/.oh-my-zsh/plugins/capistrano,16877,40377961,24,2,2363,2002,4096,1390854834.2740989,1390854834.3340995,1390854834.3340995
/home/w/weismanm/.vim/vim-addons/vimproc/.git/objects,16877,40501521,24,4,2363,2002,4096,1378929287.7845929,1372281400.0,1378929287.8165934
/home/w/weismanm/Desktop/DatagenTests/edu.allegheny.datagen/DatagenCLI.java,16832,42866394,24,2,2363,2002,4096,1381343115.4731767,1381343115.4771767,1381343115.4771767
/home/w/weismanm/Documents/traverse/.git/HEAD,33188,42867954,24,1,2363,2002,23,1391637917.0164838,1391637917.0204837,1391637917.024484
/home/w/weismanm/.vim/vim-addons/vim-addon-manager-known-repositories/.git/logs/refs,16877,40501267,24,4,2363,2002,4096,1378929283.944546,1372042199.0,1378929284.0725477
/home/w/weismanm/.oh-my-zsh/plugins/fasd,16877,42598975,24,2,2363,2002,4096,1390854836.5181258,1390854836.5221257,1390854836.5221257
/home/w/weismanm/cs290f2013-fp-team1/bin/doc/api/edu/allegheny/tweetanalyze/refresh,16877,42209463,24,3,2363,2002,4096,1386969803.8517992,1386969804.5878081,1386969804.5878081
/home/w/weismanm/.vim/bundle/vim-session/.git/logs,16877,40371635,24,3,2363,2002,4096,1378929272.1284018,1373496382.0,1378929272.1724021
/home/w/weismanm/cs290f2013-fp-team1/bin/edu/allegheny/tweetanalyze/ui,16877,42209698,24,4,2363,2002,4096,1386971211.1526241,1386971211.288626,1386971211.288626
/home/w/weismanm/.fontconfig/b5ea634b0fb353b8ea17632d1f9ef766-le32d4.cache-3,33188,42864755,24,1,2363,2002,8112,1385054407.2124276,1385054407.2164278,1385054407.2204278
/home/w/weismanm/.vim/vim-addons/FuzzyFinder,16877,40501301,24,6,2363,2002,4096,1378929284.836557,1372042314.0,1378929286.468577
/home/w/weismanm/.vim/sessions/TweetComplete.vim,33188,39462378,24,1,2363,2002,4318,1378929253.6001754,1374763617.0,1378929253.6041753
/home/w/weismanm/Documents/cs111/CS111/lab4/Sphere.java~,33188,43125240,24,1,2363,2002,2575,1354743835.548619,1354743835.548619,1354743835.548619
/home/w/weismanm/Documents/CS112/CompressionLab/bailey/doclets/PackageFrameWriter.class,33188,42864911,24,1,2363,2002,3356,1030123034.0,1030123034.0,1362517083.718609
/home/w/weismanm/.vim/colors/manxome.vim,33188,39462711,24,1,2363,2002,2595,1378929258.2562323,1371959556.0,1378929258.2602322
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/85/1/.cp/help/EGit/User_Guide/images/Egit-0.9-getstarted-name.png,33188,40895101,24,1,2363,2002,9466,1380677727.081493,1380677727.081493,1380677727.081493
/home/w/weismanm/.oh-my-zsh/plugins/vagrant,16877,42599213,24,2,2363,2002,4096,1390854840.19817,1390854840.20217,1390854840.20217
/home/w/weismanm/Documents/CS112/.git/objects/50,16877,43125438,24,2,2363,2002,4096,1362515824.5802116,1362515824.5882118,1362515824.5882118
/home/w/weismanm/Documents/traverse/.git/objects/cf/c204b2337b701f686bbe4115219b4cd6c483f5,33060,42867929,24,1,2363,2002,1584,1391637915.0844612,1391637915.0884614,1391637915.0924613
/home/w/weismanm/cs290f2013-fp-team1/bin/edu/allegheny/tweetanalyze/test/TestParser.class,33188,42209695,24,1,2363,2002,3704,1386971210.9246216,1386971210.9246216,1386971210.9246216
/home/w/weismanm/.config/google-chrome/Default/Extensions/aohghmighlieiainnegkcijnfilokake/0.5_0/_locales/ja/messages.json,33188,42866069,24,1,2363,2002,253,1380130003.982392,1380130003.9863923,1380130003.9863923
/home/w/weismanm/.cache/compizconfig-1,16832,42860848,24,2,2363,2002,4096,1351839332.5814846,1391637096.5429387,1391637096.5429387
/home/w/weismanm/.oh-my-zsh/plugins/sbt/_sbt,33188,42599155,24,1,2363,2002,2316,1390854838.0061436,1390854838.0101438,1390854838.0101438
/home/w/weismanm/.vim/colors/neutron.vim,33188,39462703,24,1,2363,2002,3106,1378929258.1762311,1371959556.0,1378929258.1802313
/home/w/weismanm/.vim/bundle/vim-latex-suite/ftplugin/latex-suite/macros,16877,40371921,24,2,2363,2002,4096,1378929274.7444336,1375377270.0,1378929274.7564337
/home/w/weismanm/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim,33188,40371355,24,1,2363,2002,3296,1378929269.3363676,1372297272.0,1378929269.3403676
/home/w/weismanm/.local/share/Trash/files/Node.pdf,33188,39329571,24,1,2363,2002,22919,1364945533.6884537,1364945533.6924539,1380137046.0755103
/home/w/weismanm/.vim/eclim/doc/vim/python,16877,40113553,24,2,2363,2002,4096,1378929277.5364678,1371784607.0,1378929277.5844684
/home/w/weismanm/.vim/colors/no_quarter.vim,33188,39462632,24,1,2363,2002,6575,1378929257.26422,1371959556.0,1378929257.2682202
/home/w/weismanm/.config/google-chrome/Default/Extension Rules/LOG.old,33188,42867774,24,1,2363,2002,0,1391443628.0275247,1391443628.0275247,1391637105.491044
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/85/1/.cp/help/JGit/User_Guide/Updating-This-Document.html,33188,40896826,24,1,2363,2002,2209,1380677728.013504,1380677728.013504,1380677728.013504
/home/w/weismanm/.local/share/Trash/files/wworkspace/.metadata/.plugins/org.eclipse.core.resources/.projects,16877,39980601,24,3,2363,2002,4096,1364946316.2816105,1364946316.2856104,1364946316.2856104
/home/w/weismanm/.vim/bundle/vim-latex-suite/doc/Makefile,33188,40371874,24,1,2363,2002,1717,1378929274.264428,1375377270.0,1378929274.2684278
/home/w/weismanm/.vim/bundle/ctrlp.vim/.git/info/exclude,33188,40371399,24,1,2363,2002,240,1378929270.008376,1373479246.0,1378929270.0123758
/home/w/weismanm/.cache/software-center/download-cache/software-center.ubuntu.com_site5fmedia_exhibits_2012_08_SC5fBanner5fapp-showdown.png,33188,42861520,24,1,2363,2002,23608,1351839332.7214863,1350478772.0,1351839332.7214863
/home/w/weismanm/.vim/bundle/nerdtree/.git/refs,16877,40371311,24,5,2363,2002,4096,1378929268.0123515,1372297272.0,1378929268.1683533
/home/w/weismanm/.vim/vim-addons/vimproc/make_mac.mak,33188,40501538,24,1,2363,2002,422,1378929287.9165945,1372281402.0,1378929287.9205947
/home/w/weismanm/Documents/cs290f2013-lab5-team4/ReleasePlanner/bin/com/group4/test/AllTests.class,33188,42995819,24,1,2363,2002,708,1383158696.6610706,1383158696.6610706,1383158696.6610706
/home/w/weismanm/.vim/eclim/doc/vim/python/django.txt,33188,40113556,24,1,2363,2002,5992,1378929277.560468,1368902168.0,1378929277.5644681
/home/w/weismanm/.config/google-chrome/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.20_0/_locales/pt_BR/messages.json,33188,43125072,24,1,2363,2002,322,1380130005.998417,1380130005.998417,1380130005.998417
/home/w/weismanm/.vim/eclim/autoload/eclim/project,16877,40372305,24,2,2363,2002,4096,1378929278.9964857,1368902134.0,1378929279.0364861
/home/w/weismanm/Documents/cs111/lab8,16877,42861406,24,2,2363,2002,4096,1351839344.5216267,1351716630.0,1352924034.2217686
/home/w/weismanm/Documents/cs111/lab9,16877,42861920,24,2,2363,2002,4096,1352316813.4945104,1352930421.456054,1352930421.456054
/home/w/weismanm/.config/google-chrome/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.20_0/_locales/pl/messages.json,33188,43125429,24,1,2363,2002,326,1380130006.1464188,1380130006.1464188,1380130006.1464188
/home/w/weismanm/Documents/cs111/lab2,16877,42861564,24,2,2363,2002,4096,1351839344.725629,1352924034.1177673,1352924034.1177673
/home/w/weismanm/Documents/cs111/lab3,16877,42861565,24,2,2363,2002,4096,1351839344.7296293,1352924034.1457677,1352924034.1457677
/home/w/weismanm/Documents/cs111/lab1,16877,42861562,24,2,2363,2002,4096,1351839344.7176292,1352924034.093767,1352924034.093767
/home/w/weismanm/Documents/cs111/lab6,16877,42861568,24,2,2363,2002,4096,1351839344.7456293,1352924034.2177684,1352924034.2177684
/home/w/weismanm/Documents/cs111/lab7,16877,42861405,24,2,2363,2002,4096,1351839344.4176254,1351715867.0,1352924034.2177684
/home/w/weismanm/Documents/cs111/lab4,16877,42861566,24,2,2363,2002,4096,1351839344.7376294,1352924034.173768,1352924034.173768
/home/w/weismanm/Documents/cs111/lab5,16877,42861567,24,2,2363,2002,4096,1351839344.7416294,1352924034.189768,1352924034.189768
/home/w/weismanm/.vim/bundle/ctrlp.vim/doc/ctrlp.txt,33188,40371404,24,1,2363,2002,54797,1378929270.0443761,1373479249.0,1378929270.0523763
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/152/1/.cp/cheatsheets,16877,40897115,24,2,2363,2002,4096,1380677729.0375164,1380677729.0415163,1380677729.0415163
/home/w/weismanm/Documents/cs111/CS111/lab8/Rect.java,33188,43125269,24,1,2363,2002,2936,1354743835.6846204,1354743835.6846204,1354743835.6846204
/home/w/weismanm/Dropbox/JavaPrograms/CS111/lab5/GradeBook.class,33188,42862445,24,1,2363,2002,3108,1351839344.701629,1349899053.0,1351839344.701629
/home/w/weismanm/Documents/CS112/CompressionLab/lz4-read-only/cmake/pack/.svn/tmp/text-base,16877,42994942,24,2,2363,2002,4096,1363278302.8653286,1363278302.9693298,1363278302.9693298
/home/w/weismanm/Documents/CS112/CompressionLab/twitter4j-core-3.0.3/twitter4j/OEmbedRequest$Align.class,33188,42865194,24,1,2363,2002,1172,1356314696.0,1356314696.0,1362517111.6389103
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/216/1,16877,40894631,24,3,2363,2002,4096,1380129882.7169015,1380129882.7209017,1380129882.7209017
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/170/1/.cp/icons/full/eview16/source.gif,33188,40895339,24,1,2363,2002,583,1380129889.660987,1380129889.6649868,1380129889.6649868
/home/w/weismanm/.eclipse/org.eclipse.platform_3.7.0_155965261/configuration/org.eclipse.osgi/bundles/133/1/.cp/icons/full/elcl16/home_nav.gif,33188,42080956,24,1,2363,2002,582,1358884044.9011204,1358884044.9051206,1358884044.9051206
/home/w/weismanm/Documents/cs210/.git/objects/c5,16877,43125779,24,2,2363,2002,4096,1378748140.9003503,1378748140.9083505,1378748140.9083505
/home/w/weismanm/.vim/colors/peppers.vim,33188,39462556,24,1,2363,2002,1922,1378929256.276208,1371959556.0,1378929256.2922082
/home/w/weismanm/Documents/CS112/RecursionLab/profiler/src,16877,43125331,24,4,2363,2002,4096,1360705078.9567788,1360705078.9727788,1360705078.9727788
